Philosophe	Naissance	Mort	Catégorie	Image	Page Wikipedia	Extrait Wikipédia
Dilthey	1833	1911	Herméneutique		https://fr.wikipedia.org/wiki/Dilthey	<p><b>Dilthey</b> est un nom de famille notamment porté par : </p> <ul><li>Iain Dilthey, réalisateur allemand</li> <li>Karl Dilthey (de), archéologue allemand</li> <li>Wilhelm Dilthey, historien, psychologue, sociologue et philosophe allemand.</li></ul>
Brentano	1838	1917	Philosophie XIXe-XXe		https://fr.wikipedia.org/wiki/Brentano	<p><b>Brentano</b> est un nom propre qui peut faire référence à : </p>
Henry Sidgwick	1838	1900	Philosophie morale	https://upload.wikimedia.org/wikipedia/commons/1/17/Henry_Sidgwick.jpg	https://fr.wikipedia.org/wiki/Henry_Sidgwick	<p><b>Henry Sidgwick</b>, né le <time datetime=""1838-05-31"" data-sort-value=""1838-05-31"">31 mai 1838</time> à Skipton dans le Yorkshire, et mort le <time datetime=""1900-08-28"" data-sort-value=""1900-08-28"">28 août 1900</time> à Cambridge, est un philosophe anglais dont les travaux ont porté sur l'économie et la morale. Il fut avec Jeremy Bentham et James Mill, l'un des grands penseurs de ce qu'on appelle aujourd'hui l'utilitarisme classique. Il est aussi épistémologue, économiste, humaniste, théoricien politique, historien de la politique, parapsychologue et théoricien de l’éducation et de la pédagogie. Sa pensée a beaucoup influencé l’éthique et la politique anglo-américaine de son époque. Il est l'époux et collabore avec la mathématicienne et féministe Eleanor Mildred Sidgwick. </p>
Ernst Mach	1838	1916	Empirisme logique	https://upload.wikimedia.org/wikipedia/commons/5/57/Ernst-Mach-1900.jpg	https://fr.wikipedia.org/wiki/Ernst_Mach	<p><b>Ernst Mach</b>, né le <time datetime=""1838-02-18"" data-sort-value=""1838-02-18"">18 février 1838</time> à Chirlitz-Turas près de Brünn dans l'Empire d'Autriche et mort le <time datetime=""1916-02-19"" data-sort-value=""1916-02-19"">19 février 1916</time> à Vaterstetten en royaume de Bavière, est un physicien et épistémologue autrichien. Il est connu pour sa contribution à la philosophie de la science et à la physique des ondes. </p><p>Mach a été un défenseur de l'empirisme et a soutenu l'idée selon laquelle les connaissances scientifiques ne peuvent être fondées que sur l'observation et l'expérience. Il a également développé l'idée de la ""sensation brute"", selon laquelle les sensations individuelles sont la base de toutes nos connaissances. </p><p>En physique, Mach a été connu pour sa contribution à la théorie de l'aérodynamisme et à l'étude du comportement des ondes dans des fluides. On lui doit l'étude du comportement d'un fluide quand un solide dépasse la vitesse du son dans ce milieu, avec la mise en évidence du nombre de Mach. </p><p>Mach a également été un important philosophe de la science et a influencé de nombreux scientifiques et philosophes, notamment Albert Einstein, qui a développé la théorie de la relativité en s'inspirant de certaines de ses idées. </p>
Peirce	1839	1914	Pragmatisme		https://fr.wikipedia.org/wiki/Peirce	<p><b>Peirce</b> est un nom de famille notamment porté par : </p> <ul><li>Charles Sanders Peirce (1839-1914), un sémiologue et philosophe américain ;</li> <li>Ebenezer Weaver Peirce (1822-1902), un militaire américain ;</li> <li>Evelyn Peirce (1908-1960), une actrice américaine ;</li> <li>William H. Peirce (18??-1944), un ingénieur et métallurgiste américain.</li></ul>
William James	1842	1910	Pragmatisme	https://upload.wikimedia.org/wikipedia/commons/9/9c/William_James_b1842c.jpg	https://fr.wikipedia.org/wiki/William_James	<p><b>William James</b> (né le <time datetime=""1842-01-11"" data-sort-value=""1842-01-11"">11 janvier 1842</time> à New York, mort le <time datetime=""1910-08-26"" data-sort-value=""1910-08-26"">26 août 1910</time> à Chocorua dans le New Hampshire) est un psychologue et philosophe américain, fils d'Henry James Sr., disciple du théologien Swedenborg, filleul de Ralph Waldo Emerson, frère aîné du romancier Henry James ainsi que d'Alice James. Il est l'un des fondateurs du pragmatisme. Il est parfois considéré comme une influence de la philosophie analytique, mais sa réception francophone témoigne également de son impact profond sur la philosophie continentale existentialiste et processuelle (voir notamment les travaux de Jean Wahl et, plus proche de nous, de Vinciane Despret, David Lapoujade et Isabelle Stengers, entre autres). </p><p>William James est souvent présenté comme le fondateur de la psychologie en Amérique. Son premier grand livre, publié en 1890, est intitulé <i><span lang=""en"">The Principles of Psychology</span></i> (<i>Les principes de psychologie</i>). Ce livre présente une psychologie basée sur l'évolutionnisme et axée sur la réflexion philosophique. </p><p>La théorie de la signification constitue le cœur du pragmatisme de James. Pour lui, il est inutile et vain de tenter de se focaliser sur les <span title=""Ce passage nécessite des précisions supplémentaires."">définitions</span><sup style=""padding-left:2px;"">[De quoi ?]</sup> abstraites. Pour comprendre un énoncé, il faut en étudier les conséquences, les soumettre à l'expérience pour tester leur vérité, prise au sens d'adéquation à la réalité. <span title=""Ce passage nécessite une référence."">James accorde une place importante à la croyance, c'est-à-dire à des hypothèses qu'on va chercher à tester pour vérifier leur vérité. Pour lui, les croyances ont un effet d'entraînement. En conséquence, ce qui intéresse James dans la religion, ce n'est pas la doctrine en elle-même mais les conséquences pratiques de la croyance en cette doctrine</span><sup style=""padding-left:2px;"">[réf. nécessaire]</sup>. </p><p>Un autre point important chez James est la notion de « tempérament ». Pour lui, les « tempéraments » doux vont vers l'idéalisme tandis que les « tempéraments » forts sont plus matérialistes, plus tournés vers la nouveauté et le risque. Si James reproche aux matérialistes leur manque de spiritualité et si, pour lui, un pragmatiste est plutôt doté d'un « tempérament » médian, il n'en demeure pas moins que, pour lui, la nouveauté et l'imagination sont importantes. Sa théorie de l'histoire n'est pas celle de lois éternelles de la nature mais qu'elle est faite par les hommes, et notamment par les grands hommes. De même, ce qui est important dans la liberté, pour lui, c'est la possibilité de faire du nouveau, du non nécessaire. </p><p>Dans sa conception chrétienne et contingente de l'artisanat, l'homme coopère avec Dieu et ses égaux pour créer un monde en évolution permanente, progressant ainsi conjointement et par tâtonnement vers davantage de richesses et de beauté. </p>
Gabriel Tarde	1843	1904	Sociologie	https://upload.wikimedia.org/wikipedia/commons/3/37/M._Tarde%2C_membre_de_l%27Institut%2C_professeur_au_Coll%C3%A8ge_de_France_CIPB0463.jpg	https://fr.wikipedia.org/wiki/Gabriel_Tarde	<p><b>Jean-Gabriel Tarde</b>, né le <time datetime=""1843-03-12"" data-sort-value=""1843-03-12"">12 mars 1843</time> à Sarlat-la-Canéda et mort le <time datetime=""1904-05-12"" data-sort-value=""1904-05-12"">12 mai 1904</time> à Paris, est un sociologue et psychologue social français, l'un des premiers penseurs de la criminologie moderne. Ses fils, Alfred de Tarde (1880-1925), Paul Tarde (1878-1948) et Guillaume Tarde (1885-1989), poursuivirent un moment son œuvre. </p><p>Adversaire de la théorie de Cesare Lombroso sur l'origine biologique du crime, mais surtout le concurrent d'Émile Durkheim lors des premiers débats qui donneront naissance à la sociologie moderne française, il s'est fait connaître notamment par son ouvrage intitulé <i>Les Lois de l'imitation</i> (1890), qui rend compte des comportements sociaux par des tendances psychologiques individuelles. S'il fut un des grands acteurs des débats intellectuels de la seconde moitié du <abbr title=""19ᵉ siècle""><span>XIX</span><sup style=""font-size:72%"">e</sup></abbr> siècle, ses travaux sont restés dans l'ombre de ceux de l'école durkheimienne. Son œuvre est aujourd'hui redécouverte et fait l'objet d'une réédition complète dans la collection « Les Empêcheurs de penser en rond » sous la direction d'Éric Alliez. </p>
Nietzsche	1844	1900	Philosophie XIXe-XXe		https://fr.wikipedia.org/wiki/Nietzsche	 
Francis Herbert Bradley	1846	1924	Philosophie XIXe-XXe	https://upload.wikimedia.org/wikipedia/commons/8/8a/FHBradley.gif	https://fr.wikipedia.org/wiki/Francis_Herbert_Bradley	<p><b>Francis Herbert Bradley</b>, né le <time datetime=""1846-01-30"" data-sort-value=""1846-01-30"">30 janvier 1846</time> à Clapham (Surrey) et mort à Oxford le <time datetime=""1924-09-18"" data-sort-value=""1924-09-18"">18 septembre 1924</time>, est un philosophe britannique. Il est avec Bernard Bosanquet et Josiah Royce, le principal représentant de l'idéalisme britannique. Il est connu, entre autres, pour sa controverse avec Russell au sujet du statut des relations. </p>
Frege	1848	1925	Philosophie analytique		https://fr.wikipedia.org/wiki/Frege	 
